created_at,is_retweet,text,tweet_id
Wed Nov 22 12:57:04 +0000 2017,True,"RT @SecondLady: Thank you, Hedlund Trees in Elma, Washington for this gorgeous tree! We can't wait to decorate it for Christmas! https://t.…",Pre-Update
Tue Nov 21 21:10:34 +0000 2017,False,"Great to meet with David Rubenstein &amp; David Skorton, leaders of an American treasure — the @smithsonian. Productive… https://t.co/iWmLeqQxfS",Pre-Update
Fri Dec 01 12:29:27 +0000 2017,True,RT @TheBrodyFile: It’s coming. Are you ready? One-on-One with Vice President Mike Pence on The 700 Club tomorrow! I think I’ll watch. @700c…,Pre-Update
Fri Dec 01 00:50:17 +0000 2017,True,RT @realDonaldTrump: Today is a day that I’ve been looking very much forward to ALL YEAR LONG. It is one that you have heard me speak about…,Pre-Update
Wed Nov 22 20:16:36 +0000 2017,True,"RT @WhiteHouse: Gathering as Families, Giving Thanks as a Nation: https://t.co/lPBSY2HAnm https://t.co/CGrthJxWz2",Pre-Update
Mon Dec 04 18:04:01 +0000 2017,False,"Over the past year, @POTUS has sent a message to the world that AMERICA IS BACK. Talked about that w/ @TheBrodyFile… https://t.co/sAlXKgA1wy",Pre-Update
Sun Dec 03 19:40:44 +0000 2017,True,RT @VPComDir: ‘President Trump Is a Believer and so am I’: Pence Confirms Trump’s Christian Faith to @CBNNews @TheBrodyFile https://t.co/UN…,Pre-Update
Tue Nov 28 23:42:14 +0000 2017,False,"70 years ago we recognized the future of the Jewish people lay in a state they could call their own, &amp; today @POTUS… https://t.co/aa85jWVVVt",Pre-Update
Thu Nov 16 19:42:20 +0000 2017,False,"GREAT DAY for the American people – as @POTUS said, this ""is a big step toward fulfilling our promise to deliver hi… https://t.co/hf0RWH68SE",Pre-Update
Tue Dec 05 16:29:07 +0000 2017,True,RT @VPPressSec: “The @VP is committed to doing all he can to support @POTUS’ efforts to keep the homeland safe from threats both foreign &amp;…,Pre-Update
Tue Nov 28 22:39:07 +0000 2017,False,I applaud the @BudgetGOP for taking another step toward providing tax relief for the American people. @POTUS Trump… https://t.co/5HicFkkE0J,Pre-Update
Tue Nov 28 16:41:58 +0000 2017,False,Watch live! Speaking now at Israel's Mission to the United Nations event celebrating the 70th anniversary of the… https://t.co/gHKT5bcwOZ,Pre-Update
Mon Dec 04 23:00:43 +0000 2017,False,Congratulations Ambassador Ed McMullen! Under the leadership of @POTUS Trump and with Ambassador McMullen as Americ… https://t.co/IbTZWFWqDp,Pre-Update
Wed Nov 29 01:25:54 +0000 2017,False,"Just last week, @POTUS Trump declared North Korea a state sponsor of terrorism, and in the wake of today’s provocat… https://t.co/pE0nARzT9k",Pre-Update
Wed Nov 29 01:18:05 +0000 2017,False,"With the strong leadership of our @POTUS, we will pass the largest tax cut in American history. https://t.co/eacgrqA6fb",Pre-Update
Thu Nov 23 15:32:46 +0000 2017,True,"RT @WhiteHouse: ""Together we give thanks for the loved ones who grace our lives and for the heroes who protect our nation."" https://t.co/pP…",Pre-Update
Wed Nov 29 17:07:23 +0000 2017,False,"As I said to @radiotalkermike, I would encourage everyone to call the office of their Senator &amp; tell them to give w… https://t.co/YYCo7sJWuV",Pre-Update
Mon Nov 27 17:00:41 +0000 2017,False,Productive meeting w/ @KingAbdullahII at the @WhiteHouse - I thanked him for Jordan's leadership in the region &amp; it… https://t.co/nJiQEWOkSV,Pre-Update
Tue Dec 05 22:48:04 +0000 2017,False,Great read about @SecondLady and our new home at the Naval Observatory. https://t.co/XmE826kHzY,Pre-Update
Thu Nov 16 16:07:03 +0000 2017,True,RT @WhiteHouse: Sign your name to stand with President Trump and support action on our broken tax system today: https://t.co/19gQohHOBZ htt…,Pre-Update
Tue Dec 05 22:17:32 +0000 2017,True,RT @FLOTUS: Headed to #Texas tomorrow with @SecondLady to continue support those affected by #HurricaneHarvey. We are with you every step o…,Pre-Update
Mon Dec 04 23:49:46 +0000 2017,True,RT @SecondLady: Enjoyed welcoming Senate spouses to the Vice President's Residence this afternoon to celebrate the holiday season. https://…,Pre-Update
Sun Dec 03 15:56:38 +0000 2017,False,"Under @POTUS, America stands with Israel. Discussed w/ @TheBrodyFile that we'll deliver that message in Israel late… https://t.co/7HQS6mQdec",Pre-Update
Wed Nov 29 21:44:13 +0000 2017,False,Honored to meet with local and state leaders who serve veterans in 49 states at the @WhiteHouse Veterans Affairs Co… https://t.co/7bQLJWqBW8,Pre-Update
Tue Nov 21 12:03:51 +0000 2017,True,RT @SecondLady: NEW BLOG: Art Therapy Provides Healing for Young Patients | https://t.co/yoXh0iUK2H https://t.co/zvlSGJkvrk,Pre-Update
Wed Nov 29 01:11:14 +0000 2017,False,"Under @POTUS’ leadership, our administration has taken decisive action to restore American strength – and American… https://t.co/eoFC5OgQJK",Pre-Update
Sun Dec 03 02:34:18 +0000 2017,False,Karen and I enjoyed a great Christmas party this evening at our home at the Naval Observatory with members of the S… https://t.co/12gZUQu2Ek,Pre-Update
